event_id,native_mechanism,oblast,start_time,end_time,time_precision,verification_status,is_power_event,is_war_event,included_in_main_power_analysis,main_cohort_match_note
KE20240903_MULTI_REGION_EMERGENCY,emergency_override_of_planned_schedules,Kyiv City|Kyiv Oblast|Zhytomyr Oblast|Cherkasy Oblast|Chernihiv Oblast|Odesa Oblast|Mykolaiv Oblast|Kherson Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Zaporizhzhia Oblast|Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Vinnytsia Oblast,2024-09-03 19:16:00+03:00,2024-09-03 22:16:00+03:00,national reported window; DSO timings vary,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240921_SHOSTKA_ATTACK,physical_grid_outage,Sumy Oblast,,,late-evening/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240927_SUMY_SHORT_EMERGENCY,short_emergency_override,Sumy Oblast,2024-09-27 09:25:00+03:00,2024-09-27 09:57:00+03:00,exact_effective,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241003_MULTI_REGION_ATTACK_OUTAGES,physical_outages_plus_emergency_dispatch,Kharkiv Oblast|Poltava Oblast|Dnipropetrovsk Oblast|Odesa Oblast|Sumy Oblast|Chernihiv Oblast|Donetsk Oblast,2024-10-03 10:15:00+03:00,,GAV start exact; broader physical outages date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241004_SUMY_POLTAVA_GAV,emergency_outage,Sumy Oblast|Poltava Oblast,2024-10-04 10:25:00+03:00,2024-10-04 19:00:00+03:00,Sumy exact; Poltava end may differ,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241019_SHOSTKA_ATTACK,large_physical_outage_and_emergency_dispatch,Sumy Oblast,,,physical outage date-level; GAV actions exact,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241020_ROMNY_ATTACK,physical_grid_outage,Sumy Oblast,,2024-10-20 17:59:00+03:00,attack morning; restoration reported_by,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241022_SUMY_ATTACK,physical_outage_plus_emergency_dispatch,Sumy Oblast,,,07:38/08:51/16:00/18:57 exact public action times,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241028_SUMY_POLTAVA_ATTACK,physical_outage_plus_emergency_dispatch,Sumy Oblast|Poltava Oblast,2024-10-28 09:06:00+02:00,2024-10-28 15:09:00+02:00,Sumy start exact; cancellation reported_at,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240829_SUMY_EMERGENCY,emergency_override_plus_planned_rotation,Sumy Oblast,,,partial_exact,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240901_SUMY_EMERGENCY,emergency_override,Sumy Oblast,2024-09-01 20:36:00+03:00,2024-09-01 22:53:00+03:00,start_exact_end_upper_bound,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240829_KHARKIV_SHELLING_OUTAGE,physical_grid_outage,Kharkiv Oblast,,,reported_state,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241213_ODESSA_NETWORK_OVERLOAD,emergency_override,Odesa Oblast,,2024-12-14 09:04:00+02:00,start_reported/end_upper_bound,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241226_SUMY_EMERGENCY,short_emergency_override,Sumy Oblast,2024-12-26 06:37:00+02:00,2024-12-26 08:00:00+02:00,exact_effective,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241228_THREE_REGION_EMERGENCY,emergency_override,Sumy Oblast|Poltava Oblast|Dnipropetrovsk Oblast,2024-12-28 15:00:00+02:00,,mixed_regional,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240604_MULTI_REGION_EMERGENCY,multiple_emergency_overrides,Kharkiv Oblast|Sumy Oblast|Kyiv City|Kyiv Oblast|Donetsk Oblast|Zhytomyr Oblast|Mykolaiv Oblast|Khmelnytskyi Oblast|Ivano-Frankivsk Oblast|Rivne Oblast|Zakarpattia Oblast|Ternopil Oblast|Vinnytsia Oblast|Volyn Oblast|Lviv Oblast|Cherkasy Oblast|Kirovohrad Oblast,2024-06-04 14:21:00+03:00,2024-06-05 00:57:00+03:00,region-specific exact action times,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240605_MULTI_REGION_EMERGENCY,emergency_override,Volyn Oblast|Ivano-Frankivsk Oblast|Kyiv Oblast|Kirovohrad Oblast|Zaporizhzhia Oblast|Lviv Oblast|Odesa Oblast|Rivne Oblast|Sumy Oblast|Kharkiv Oblast|Cherkasy Oblast|Chernihiv Oblast,2024-06-05 20:40:00+03:00,2024-06-05 23:40:00+03:00,region-specific exact action times,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240829_MULTI_REGION_EMERGENCY,emergency_override,Kyiv City|Kyiv Oblast|Dnipropetrovsk Oblast|Donetsk Oblast,2024-08-29 11:56:00+03:00,,reported_at_not_effective,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240715_KHARKIV_EMERGENCY,emergency_override,Kharkiv Oblast,2024-07-15 12:00:00+03:00,,start exact; cancellation upper bound,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240724_REGIONAL_CANCELLATION,planned_outage_cancelled,Sumy Oblast|Kharkiv Oblast|Dnipropetrovsk Oblast|Odesa Oblast|multiple other oblasts,2024-07-24 08:20:00+03:00,2024-07-24 18:00:00+03:00,region-specific exact dispatch windows,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240918_SUMY_REATTACK,new_physical_outage,Sumy Oblast,2024-09-18 22:03:00+03:00,,exact critical-infrastructure state time,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241121_MULTI_REGION_EMERGENCY_REENTRY,emergency_override_then_cancel,Sumy Oblast|Odesa Oblast|Dnipropetrovsk Oblast|Kharkiv Oblast|multiple other oblasts,2024-11-21 06:54:00+02:00,2024-11-21 07:56:00+02:00,Sumy exact; Odesa/Dnipro reported-state bounds,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
