execution_event_id,event_date,admin1,admin2,operator,mechanism,queue_id_or_set,event_action,effective_time_local,effective_time_utc,reported_at_local,reported_at_utc,time_lower_local,time_upper_local,time_lower_utc,time_upper_utc,time_precision,time_semantics,state_after_action,affected_scope_detail,related_schedule_record_id,key_event_id,confidence,publication_eligible,impact_note,source_authority,source_url,source_note,explanation_zh,episode_id,episode_seq,mechanism_norm,action_norm,state_before_norm,state_after_norm,event_confidence,time_confidence,scope_confidence,source_origin,source_channel,source_grade,evidence_rank,schema_version
XE20241020_ROMNY_RESTORE_ALL,2024-10-20,Sumy Oblast,,Sumyoblenergo / Romny district authority,physical_grid_outage,,restore_all,,,2024-10-20 17:59:00+03:00,2024-10-20 14:59:00+00:00,,,,,reported_at,17:59 is the public report time confirming that all consumers in Romny district had been restored.,all Romny district consumers restored,Romny district,,KE20241020_ROMNY_ATTACK,high,1,Do not interpret 17:59 as the exact last switching instant.,district_authority_via_dated_local_media,https://debaty.sumy.ua/news/u-romenskomu-rajoni-vidnovili-elektropostachannya,,Do not interpret 17:59 as the exact last switching instant.【置信度：high】,EP20241020_SUMY_OBLAST_01,1,physical_outage,restore_full,unknown,normal_or_planned,high,reported_state,specific_or_partial,government,media_relay,near_primary,4,v3.0
XE20241022_SUMY_GAV_ACTIVATE,2024-10-22,Sumy Oblast,,Sumyoblenergo,GAV,1|2,activate,2024-10-22 18:57:00+03:00,2024-10-22 15:57:00+00:00,,,,,,,exact_effective,DSO states queues 1 and 2 were disconnected at 18:57.,GAV q1/q2 active,Konotop|Putyvl|Buryn|Bilopillia,,KE20241022_SUMY_ATTACK,high,1,No exact cancellation record recovered; leave end unknown.,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-teritoriyi-sumshhini-vvedeni-grafiki-avarijnih-vidklyuchen,,No exact cancellation record recovered; leave end unknown.【置信度：high】,EP20241022_SUMY_OBLAST_02,1,GAV,activate,unknown,GAV,high,exact_public,specific_or_partial,DSO,media_relay,near_primary,4,v3.0
XE20241028_SUMY_GAV_ACTIVATE,2024-10-28,Sumy Oblast,,Sumyoblenergo,GAV,"Konotop q5 | Romny q1,q2",activate,2024-10-28 09:06:00+02:00,2024-10-28 07:06:00+00:00,,,,,,,exact_effective,DSO explicitly states these consumers disconnected at 09:06.,listed GAV queues active,Konotop REM|Romny REM,,KE20241028_SUMY_POLTAVA_ATTACK,high,1,,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-vvedeni-grafiki-avarijnih-vidklyuchen-6,,Sumy Oblast / Sumyoblenergo；GAV activate；状态=listed GAV queues active。【置信度：high】,EP20241028_SUMY_OBLAST_01,1,GAV,activate,unknown,GAV,high,exact_public,specific_or_partial,DSO,media_relay,near_primary,4,v3.0
XE20241028_SUMY_GAV_ROTATE,2024-10-28,Sumy Oblast,,Sumyoblenergo,GAV,"Konotop q5 -> q7,q9,q2; Romny q1,q2 -> q3,q4",rotate,,,2024-10-28 12:21:00+02:00,2024-10-28 10:21:00+00:00,,,,,reported_at,12:21 publication reports the revised queue state; exact command/effective minute is not claimed.,new queue set active,Konotop REM|Romny REM,,KE20241028_SUMY_POLTAVA_ATTACK,high,1,,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-zmini-po-vidklyuchennyam-svitla,,Sumy Oblast / Sumyoblenergo；GAV rotate；状态=new queue set active。【置信度：high】,EP20241028_SUMY_OBLAST_01,2,GAV,rotate,GAV,GAV,high,reported_state,specific_or_partial,DSO,media_relay,near_primary,4,v3.0
XE20241028_SUMY_GAV_CANCEL,2024-10-28,Sumy Oblast,,Sumyoblenergo,GAV,,cancel_all,,,2024-10-28 15:09:00+02:00,2024-10-28 13:09:00+00:00,,,,,cancelled_by,15:09 publication states GAV in Sumy Oblast were cancelled; cancellation occurred no later than this report.,GAV off,Sumy Oblast,,KE20241028_SUMY_POLTAVA_ATTACK,high,1,,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-skasovani-grafiki-avarijnih-vidklyuchen-3,,Sumy Oblast / Sumyoblenergo；GAV cancel_all；状态=GAV off。【置信度：high】,EP20241028_SUMY_OBLAST_01,3,GAV,cancel,GAV,normal_or_planned,high,upper_bound,oblast,DSO,media_relay,near_primary,4,v3.0
XE20240826_KH_GAV_REPORTED,2024-08-26,Kharkiv Oblast,,Kharkivoblenergo,GAV,,activate,,,2024-08-26 08:56:00+03:00,2024-08-26 05:56:00+00:00,,,,,reported_at,08:56 is when Kharkivoblenergo press service reported GAV use; source does not prove command became effective at that exact minute.,GAV active,Kharkiv Oblast,R20240826_NAT_001,KE20240826_MAJOR_ATTACK,high,1,,official_dso_statement_via_public_broadcaster,https://suspilne.media/kharkiv/821407-ak-vimikatimut-elektriku-v-harkovi-ta-oblasti-26-serpna-grafik-vidklucen-vid-oblenergo/,,Kharkiv Oblast / Kharkivoblenergo；GAV activate；状态=GAV active。【置信度：high】,EP20240826_KHARKIV_OBLAST_01,1,GAV,activate,unknown,GAV,high,reported_state,oblast,DSO,public_media_relay,near_primary,4,v3.0
XE20240826_KH_GAV_TO_GPV,2024-08-26,Kharkiv Oblast,,Kharkivoblenergo,GAV->GPV,,replace_gav_with_gpv,2024-08-26 12:15:00+03:00,2024-08-26 09:15:00+00:00,,,,,,,exact_state_time,Kharkivoblenergo reported at 12:15 that emergency outages were replaced by hourly schedules.,GAV off; GPV active for six consumer groups,Kharkiv Oblast,R20240826_NAT_001,KE20240826_MAJOR_ATTACK,high,1,,official_dso_statement_via_dated_media,https://2day.kh.ua/ua/kharkow/avariyni-vidklyuchennya-na-kharkivshchyni-skasuvaly-planovi-hrafiky-diyut,,Kharkiv Oblast / Kharkivoblenergo；GAV->GPV replace_gav_with_gpv；状态=GAV off; GPV active for six consumer groups。【置信度：high】,EP20240826_KHARKIV_OBLAST_01,2,GAV,replace,GAV,GPV,high,exact_public,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241003_KH_GAV_ACTIVATE,2024-10-03,Kharkiv Oblast,,Ukrenergo / Kharkivoblenergo,GAV,,activate,2024-10-03 10:15:00+03:00,2024-10-03 07:15:00+00:00,,,,,,,exact_effective,Ukrenergo command introduced GAV in part of Kharkiv and Poltava at 10:15.,partial-oblast GAV active,part of Kharkiv Oblast,,KE20241003_MULTI_REGION_ATTACK_OUTAGES,high,1,,ukrenergo_statement_via_dated_media,https://2day.kh.ua/ua/kharkow/avariyni-znestrumlennya-dlya-kharkova-ta-oblasti-skasuvaly,,Kharkiv Oblast / Ukrenergo / Kharkivoblenergo；GAV activate；状态=partial-oblast GAV active。【置信度：high】,EP20241003_KHARKIV_OBLAST_01,1,GAV,activate,unknown,GAV,high,exact_public,oblast,TSO,media_relay,near_primary,4,v3.0
XE20241003_KH_GAV_CANCEL,2024-10-03,Kharkiv Oblast,,Ukrenergo / Kharkivoblenergo,GAV,,cancel_all,,,2024-10-03 11:35:00+03:00,2024-10-03 08:35:00+00:00,,,,,cancelled_by,A dated Kharkiv live report had already stated that emergency outages were cancelled by 11:35. This tightens the previous 11:57 upper bound; it is still not claimed as the exact switching instant.,GAV off,Kharkiv Oblast,,KE20241003_MULTI_REGION_ATTACK_OUTAGES,high,1,,kharkivoblenergo_statement_via_dated_local_media,https://www.objectiv.tv/uk/objectively/2024/10/03/avarijni-znestrumlennya-dlya-harkova-ta-oblasti-skasuvali/,Later 11:57 national reporting corroborates cancellation; 11:35 is used only as a 'cancelled_by' upper bound.,Kharkiv Oblast / Ukrenergo / Kharkivoblenergo；GAV cancel_all；状态=GAV off。【置信度：high】,EP20241003_KHARKIV_OBLAST_01,2,GAV,cancel,GAV,normal_or_planned,high,upper_bound,oblast,DSO,media_relay,near_primary,4,v3.0
XE20240827_DN_EMG_TO_STAB,2024-08-27,Dnipropetrovsk Oblast,,DTEK Dnipro Grids,emergency_outage->stabilization,,replace_emergency_with_stabilization,,,2024-08-27 22:10:00+03:00,2024-08-27 19:10:00+00:00,,,,,reported_at,DTEK update at 22:10 states emergency outages were cancelled and stabilization schedules resumed.,emergency off; stabilization schedules active,Dnipropetrovsk Oblast,R20240827_NAT_001,KE20240826_MAJOR_ATTACK,high,1,,official_dso_statement_via_dated_media,https://nv.ua/ukr/ukraine/events/v-kieve-dnepropetrovskoy-odesskoy-i-doneckoy-oblastyah-vveli-ekstrennye-otklyucheniya-50446204.html,,Dnipropetrovsk Oblast / DTEK Dnipro Grids；emergency_outage->stabilization replace_emergency_with_stabilization；状态=emergency off; stabilization schedules active。【置信度：high】,EP20240827_DNIPROPETROVSK_OBL_01,1,GPV,replace,unknown,GPV,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20240903_DN_EMG_START,2024-09-03,Dnipropetrovsk Oblast,,DTEK Dnipro Grids,emergency_outage,,activate,,,2024-09-03 18:34:00+03:00,2024-09-03 15:34:00+00:00,,,,,reported_at,18:34 is the Suspilne timeline/report time quoting DTEK; not guaranteed to be the dispatch command second.,emergency active; hourly schedules temporarily inactive,Dnipropetrovsk Oblast,R20240903_NAT_001,KE20240903_MULTI_REGION_EMERGENCY,high,1,,official_dso_statement_via_public_broadcaster,https://suspilne.media/dnipro/827501-raketna-ataka-po-dnipru-obstrili-nikopolsini-golovni-novini-dnipra-ta-oblasti-3-veresna/,,Dnipropetrovsk Oblast / DTEK Dnipro Grids；emergency_outage activate；状态=emergency active; hourly schedules temporarily inactive。【置信度：high】,EP20240903_DNIPROPETROVSK_OBL_01,1,emergency,activate,unknown,GPV+emergency,high,reported_state,oblast,DSO,public_media_relay,near_primary,4,v3.0
XE20240903_DN_EMG_CANCEL,2024-09-03,Dnipropetrovsk Oblast,,DTEK Dnipro Grids,emergency_outage->stabilization,,replace_emergency_with_stabilization,,,2024-09-03 22:05:00+03:00,2024-09-03 19:05:00+00:00,,,,,reported_at,22:05 is the Suspilne timeline/report time quoting DTEK cancellation.,emergency off; stabilization schedules active,Dnipropetrovsk Oblast,R20240903_NAT_001,KE20240903_MULTI_REGION_EMERGENCY,high,1,,official_dso_statement_via_public_broadcaster,https://suspilne.media/dnipro/827501-raketna-ataka-po-dnipru-obstrili-nikopolsini-golovni-novini-dnipra-ta-oblasti-3-veresna/,,Dnipropetrovsk Oblast / DTEK Dnipro Grids；emergency_outage->stabilization replace_emergency_with_stabilization；状态=emergency off; stabilization schedules active。【置信度：high】,EP20240903_DNIPROPETROVSK_OBL_01,2,GPV,replace,GPV+emergency,GPV,high,reported_state,oblast,DSO,public_media_relay,near_primary,4,v3.0
XE20241117_DN_EMG_START,2024-11-17,Dnipropetrovsk Oblast,,DTEK Dnipro Grids,emergency_outage,,activate,,,2024-11-17 07:36:00+02:00,2024-11-17 05:36:00+00:00,,,,,reported_at,07:36 breaking report says emergency outages were in force on DTEK instruction from Ukrenergo.,emergency active,Dnipropetrovsk Oblast,,KE20241117_MAJOR_ATTACK,high,1,,official_dso_statement_via_dated_media,https://www.pravda.com.ua/news/2024/11/17/7484894/,,Dnipropetrovsk Oblast / DTEK Dnipro Grids；emergency_outage activate；状态=emergency active。【置信度：high】,EP20241117_DNIPROPETROVSK_OBL_01,1,emergency,activate,unknown,emergency,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241117_DN_EMG_CANCEL,2024-11-17,Dnipropetrovsk Oblast,,DTEK Dnipro Grids,emergency_outage,,cancel_all,,,2024-11-17 11:04:00+02:00,2024-11-17 09:04:00+00:00,,,,,reported_at,"Local dated report says DTEK announced cancellation at 11:04; another public broadcaster item appears at 11:10, so timing is treated as report-time rather than exact command-time.",emergency off,Dnipropetrovsk Oblast,,KE20241117_MAJOR_ATTACK,high,0,,official_dso_statement_via_dated_local_media,https://mis.dp.ua/information/na-dnipropetrovshhyni-vvely-ekstreni-vidklyuchennya-elektroenergiyi,Cross-source publication timestamps differ by several minutes; do not call 11:04 the exact effective switching time.,Dnipropetrovsk Oblast / DTEK Dnipro Grids；emergency_outage cancel_all；状态=emergency off。【置信度：high】,EP20241117_DNIPROPETROVSK_OBL_01,2,emergency,cancel,emergency,normal_or_planned,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241128_DN_EMG_CANCEL_BY,2024-11-28,Dnipropetrovsk Oblast,,DTEK Dnipro Grids,emergency_outage->stabilization,,replace_emergency_with_stabilization,,,2024-11-28 11:42:00+02:00,2024-11-28 09:42:00+00:00,,,,,cancelled_by,"By the 11:42 DTEK schedule update, stabilization schedules had replaced emergency outages; exact command minute was not recovered.",stabilization schedules active,Dnipropetrovsk Oblast,R20241128_NAT_002,KE20241128_MAJOR_ATTACK,high,1,,official_dso_statement_via_dated_media,https://thepage.ua/ua/news/onovleni-grafiki-vidklyuchen,,Dnipropetrovsk Oblast / DTEK Dnipro Grids；emergency_outage->stabilization replace_emergency_with_stabilization；状态=stabilization schedules active。【置信度：high】,EP20241128_DNIPROPETROVSK_OBL_01,1,GPV,replace,unknown,GPV,high,upper_bound,oblast,DSO,media_relay,near_primary,4,v3.0
XE20240827_OD_EMG_TO_STAB,2024-08-27,Odesa Oblast,,DTEK Odesa Grids,emergency_outage->stabilization,,replace_emergency_with_stabilization,,,2024-08-27 22:10:00+03:00,2024-08-27 19:10:00+00:00,,,,,reported_at,DTEK update at 22:10 states emergency outages were cancelled and stabilization schedules resumed.,emergency off; stabilization schedules active,Odesa Oblast,R20240827_NAT_001,KE20240826_MAJOR_ATTACK,high,1,,official_dso_statement_via_dated_media,https://nv.ua/ukr/ukraine/events/v-kieve-dnepropetrovskoy-odesskoy-i-doneckoy-oblastyah-vveli-ekstrennye-otklyucheniya-50446204.html,,Odesa Oblast / DTEK Odesa Grids；emergency_outage->stabilization replace_emergency_with_stabilization；状态=emergency off; stabilization schedules active。【置信度：high】,EP20240827_ODESA_OBLAST_01,1,GPV,replace,unknown,GPV,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241111_OD_EMG_START,2024-11-11,Odesa Oblast,,DTEK Odesa Grids,preventive_emergency_outage,,activate,,,2024-11-11 07:27:00+02:00,2024-11-11 05:27:00+00:00,,,,,reported_at,07:27 breaking report identifies DTEK/Odesa among regions using preventive emergency outages; exact DSO command minute is not recovered.,preventive emergency active,Odesa Oblast,,KE20241111_PREVENTIVE_EMERGENCY,high,1,,official_dso_statement_via_dated_media,https://www.pravda.com.ua/news/2024/11/11/7483843/,,Odesa Oblast / DTEK Odesa Grids；preventive_emergency_outage activate；状态=preventive emergency active。【置信度：high】,EP20241111_ODESA_OBLAST_01,1,preventive_emergency,activate,unknown,emergency,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241111_OD_EMG_CANCEL,2024-11-11,Odesa Oblast,,DTEK Odesa Grids,preventive_emergency_outage,,cancel_all,,,2024-11-11 13:23:00+02:00,2024-11-11 11:23:00+00:00,,,,,reported_at,13:23 dated report says DTEK cancelled emergency outages and power was being gradually returned.,emergency off / supply returning,Odesa Oblast,,KE20241111_PREVENTIVE_EMERGENCY,high,1,,official_dso_statement_via_dated_media,https://nv.ua/ukr/ukraine/events/vidklyuchennya-svitla-skasavani-u-kiyevi-ta-chotiroh-oblastyah-11-listopada-dtek-50465480.html,,Odesa Oblast / DTEK Odesa Grids；preventive_emergency_outage cancel_all；状态=emergency off / supply returning。【置信度：high】,EP20241111_ODESA_OBLAST_01,2,preventive_emergency,cancel,emergency,normal_or_planned,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241118_OD_STATE_321K,2024-11-18,Odesa Oblast,,DTEK Odesa Grids,physical_grid_outage,,state_observed,,,2024-11-18 13:45:00+02:00,2024-11-18 11:45:00+00:00,,,,,reported_at,"13:45 report relays DTEK state: 400k families restored since attack, 321k clients still without power.","321,000 clients still without power",Odesa Oblast,R20241118_NAT_001,KE20241117_MAJOR_ATTACK,high,1,Physical restoration episode; not a rotating outage queue.,official_dso_statement_via_dated_media,https://greenpost.ua/news/sytuatsiya-skladna-bez-elektropostachannya-zalyshayutsya-321-tysyacha-rodyn-v-odesi-ta-oblasti-i79470,,Physical restoration episode; not a rotating outage queue.【置信度：high】,EP20241118_ODESA_OBLAST_01,1,physical_outage,observe,unknown,physical_outage,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241118_OD_CRITICAL_RESTORE,2024-11-18,Odesa Oblast,,DTEK Odesa Grids,physical_grid_outage,,restore_partial,,,2024-11-18 16:08:00+02:00,2024-11-18 14:08:00+00:00,,,,,reported_at,16:08 report states power restored to critical-infrastructure facilities in southern Odesa.,critical infrastructure in southern Odesa re-energized; emergency outages still used regionally,southern Odesa critical infrastructure,R20241118_NAT_001,KE20241117_MAJOR_ATTACK,high,1,Do not infer household restoration from critical-infrastructure restoration.,official_dso_statement_via_dated_media,https://gazeta.ua/articles/regions/_energetiki-vidnovili-elektropostachannya-kritichnoyi-infrastrukturi-na-pivdni-odesi/1199760,,Do not infer household restoration from critical-infrastructure restoration.【置信度：high】,EP20241118_ODESA_OBLAST_01,2,physical_outage,restore_partial,physical_outage,physical_outage_partial_recovery,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241128_OD_EMG_START,2024-11-28,Odesa Oblast,,DTEK Odesa Grids,emergency_outage,,state_observed,,,2024-11-28 05:20:00+02:00,2024-11-28 03:20:00+00:00,,,,,reported_at,Official Odesa city channel reports emergency outages in Odesa Oblast at 05:20.,emergency active; planned schedules overridden,Odesa Oblast,R20241128_NAT_002,KE20241128_MAJOR_ATTACK,high,1,,official_city_channel_relaying_dso,https://t.me/s/odesacityofficial?after=35796,,Odesa Oblast / DTEK Odesa Grids；emergency_outage state_observed；状态=emergency active; planned schedules overridden。【置信度：high】,EP20241128_ODESA_OBLAST_01,1,emergency,observe,unknown,emergency,high,reported_state,oblast,DSO,government_relay,near_primary,4,v3.0
XE20241128_OD_EMG_CANCEL_BY,2024-11-28,Odesa Oblast,,DTEK Odesa Grids,emergency_outage->stabilization,,replace_emergency_with_stabilization,,,2024-11-28 10:37:00+02:00,2024-11-28 08:37:00+00:00,,,,,cancelled_by,"By the 10:37 DTEK update, new stabilization schedules were in force; emergency regime ended no later than this update.",stabilization schedules active,Odesa Oblast,R20241128_NAT_002,KE20241128_MAJOR_ATTACK,high,1,,official_dso_statement_via_public_broadcaster,https://suspilne.media/odesa/889921-na-odesini-vveli-ekstreni-vidklucenna-svitla-4/,,Odesa Oblast / DTEK Odesa Grids；emergency_outage->stabilization replace_emergency_with_stabilization；状态=stabilization schedules active。【置信度：high】,EP20241128_ODESA_OBLAST_01,2,GPV,replace,emergency,GPV,high,upper_bound,oblast,DSO,public_media_relay,near_primary,4,v3.0
XE20240826_SUMY_GAV_CANCEL1,2024-08-26,Sumy Oblast,,Sumyoblenergo,GAV,,cancel_one,2024-08-26 22:14:00+03:00,2024-08-26 19:14:00+00:00,,,,,,,exact_effective,Official Sumyoblenergo historical post explicitly states one GAV queue was cancelled at 22:14.,one fewer GAV queue active,Sumy Oblast,R20240826_NAT_001,KE20240826_MAJOR_ATTACK,high,0,"Corrected in v2.5: this action belongs to 26 Aug, not 27 Aug.",official_dso_archive,https://t.me/s/SumyEnergo?before=1233,Broad Telegram archive locator; body time is explicit. Freeze exact message before publication.,"Corrected in v2.5: this action belongs to 26 Aug, not 27 Aug.【置信度：high】",EP20240826_SUMY_OBLAST_01,1,GAV,cancel,unknown,normal_or_planned,high,exact_public,oblast,DSO,direct,primary,5,v3.0
