ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit,difference_reason
109.206.42.192,109.206.42.0,Dnipropetrovsk Oblast,0.19230769230769232,0.2980769230769231,0,1,2024-08-10 13:41:25.000000,2024-08-24 23:51:58.000000,0,4,6,12.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.43.12,109.206.43.0,Dnipropetrovsk Oblast,0.3076923076923077,0.3076923076923077,0,1,2024-11-01 07:41:28.000000,2024-11-25 15:42:10.000000,0,1,7,11.0,25.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.43.55,109.206.43.0,Dnipropetrovsk Oblast,0.8461538461538461,0.9230769230769231,0,1,2024-12-01 02:42:10.000000,2024-12-29 15:42:07.000000,0,1,14,11.0,19.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.44.234,109.206.44.0,Dnipropetrovsk Oblast,0.07692307692307693,0.16346153846153846,0,1,2024-08-01 11:41:30.000000,2024-08-28 05:41:29.000000,0,3,5,12.0,20.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.44.33,109.206.44.0,Dnipropetrovsk Oblast,0.15384615384615385,0.5576923076923077,0,1,2024-09-03 19:41:29.000000,2024-12-16 07:42:26.000000,0,31,4,11.0,19.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.45.221,109.206.45.0,Dnipropetrovsk Oblast,0.0,0.3173076923076923,0,1,2024-10-02 01:41:28.000000,2024-10-25 19:41:31.000000,0,4,10,12.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.46.55,109.206.46.0,Dnipropetrovsk Oblast,0.11538461538461539,0.6730769230769231,0,1,2024-09-03 09:41:30.000000,2024-09-11 17:41:31.000000,0,2,4,12.0,13.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.47.139,109.206.47.0,Dnipropetrovsk Oblast,0.19230769230769232,0.4326923076923077,0,1,2024-08-05 22:41:33.000000,2024-08-27 21:41:26.000000,0,1,15,12.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.47.22,109.206.47.0,Dnipropetrovsk Oblast,0.0,0.25961538461538464,0,1,2024-09-10 23:41:30.000000,2024-09-28 17:41:31.000000,0,1,8,12.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.47.71,109.206.47.0,Dnipropetrovsk Oblast,0.038461538461538464,0.5769230769230769,0,1,2024-06-22 10:50:32.000000,2024-07-29 21:41:30.000000,0,15,2,11.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.251.148.178,109.251.148.0,Dnipropetrovsk Oblast,0.8846153846153846,0.6634615384615384,0,1,2024-07-05 14:41:40.000000,2025-01-08 18:42:26.000000,0,59,71,11.0,23.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.251.209.31,109.251.209.0,Zhytomyr Oblast,1.0,1.0,0,1,2024-08-12 14:41:45.000000,2024-10-28 16:41:46.000000,0,2,16,12.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.251.99.68,109.251.99.0,Zhytomyr Oblast,1.0,1.0,0,1,2024-08-01 11:41:43.000000,2024-12-31 15:42:22.000000,0,2,20,12.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.156.63,109.87.156.0,Dnipropetrovsk Oblast,0.6923076923076923,0.9519230769230769,0,1,2024-09-03 15:41:05.000000,2024-10-31 16:41:12.000000,0,2,26,8.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.163.21,109.87.163.0,Dnipropetrovsk Oblast,0.8461538461538461,0.8942307692307693,0,1,2024-07-08 09:41:07.000000,2024-07-26 11:41:08.000000,0,1,6,9.0,14.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.164.175,109.87.164.0,Dnipropetrovsk Oblast,0.46153846153846156,0.6442307692307693,0,1,2024-06-23 18:41:08.000000,2025-01-07 11:42:06.000000,0,35,63,8.0,30.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.181.107,109.87.181.0,Dnipropetrovsk Oblast,0.7307692307692307,0.7884615384615384,0,1,2024-08-03 20:41:11.000000,2024-08-29 15:41:09.000000,0,1,18,8.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.183.113,109.87.183.0,Dnipropetrovsk Oblast,0.7692307692307693,0.8269230769230769,0,1,2024-11-05 09:46:55.000000,2024-11-29 15:41:45.000000,0,1,11,8.0,19.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.188.93,109.87.188.0,Dnipropetrovsk Oblast,0.6923076923076923,0.875,0,1,2024-07-01 00:41:13.000000,2024-08-26 12:41:07.000000,0,21,13,9.0,16.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.206.249,109.87.206.0,Zaporizhzhia Oblast,0.625,0.53125,0,1,2024-09-03 23:41:10.000000,2024-11-29 14:41:47.000000,0,4,38,8.0,27.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.208.181,109.87.208.0,Zaporizhzhia Oblast,0.75,0.90625,0,1,2024-07-02 14:41:10.000000,2024-12-26 17:41:57.000000,0,5,49,8.0,25.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.235.181,109.87.235.0,Poltava Oblast,0.4519230769230769,0.6153846153846154,0,1,2024-06-23 11:41:11.000000,2024-06-23 11:41:11.000000,0,1,0,9.0,9.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.238.71,109.87.238.0,Poltava Oblast,0.7692307692307693,0.9591346153846154,1,1,2024-06-22 23:41:12.000000,2024-08-24 05:43:01.000000,0,37,12,9.0,24.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
109.87.244.151,109.87.244.0,Poltava Oblast,0.5096153846153846,0.8533653846153846,0,1,2024-06-22 16:50:32.000000,2024-06-29 15:41:12.000000,0,1,4,9.0,9.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.87.253.175,109.87.253.0,Poltava Oblast,0.009615384615384616,0.014423076923076924,0,1,2024-06-22 13:50:21.000000,2024-06-25 01:41:15.000000,0,3,4,9.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.33.243,130.0.33.0,Odesa Oblast,0.16666666666666666,0.325,0,1,2024-09-02 18:42:09.000000,2024-09-30 12:42:09.000000,0,1,5,12.0,16.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.35.229,130.0.35.0,Odesa Oblast,0.06666666666666667,0.30833333333333335,0,1,2024-10-01 07:42:09.000000,2024-10-16 19:48:22.000000,0,1,9,11.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.35.30,130.0.35.0,Odesa Oblast,0.13333333333333333,0.15833333333333333,0,1,2024-10-05 10:42:11.000000,2024-10-31 04:42:09.000000,0,1,13,10.0,16.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.40.198,130.0.40.0,Odesa Oblast,0.06666666666666667,0.03333333333333333,0,1,2024-09-04 04:42:12.000000,2024-09-29 05:42:17.000000,0,1,12,12.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.40.45,130.0.40.0,Odesa Oblast,0.3,0.1,0,1,2024-11-07 17:45:03.000000,2024-11-21 23:42:12.000000,0,1,2,12.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.40.46,130.0.40.0,Odesa Oblast,0.26666666666666666,0.075,0,1,2024-07-04 19:44:58.000000,2024-07-16 12:42:09.000000,0,1,2,12.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.41.129,130.0.41.0,Odesa Oblast,0.1,0.13333333333333333,0,1,2024-09-02 08:45:04.000000,2024-09-14 00:42:07.000000,0,1,2,12.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.41.224,130.0.41.0,Odesa Oblast,0.23333333333333334,0.24166666666666667,0,1,2024-08-01 02:42:16.000000,2024-08-25 14:42:11.000000,0,2,10,12.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.44.122,130.0.44.0,Odesa Oblast,0.0,0.058333333333333334,0,1,2024-07-09 09:42:10.000000,2024-07-26 20:42:11.000000,0,1,3,12.0,21.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.44.69,130.0.44.0,Odesa Oblast,0.4666666666666667,0.16666666666666666,0,1,2024-07-06 23:42:11.000000,2024-07-28 21:42:08.000000,0,1,4,12.0,16.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.45.100,130.0.45.0,Odesa Oblast,0.1,0.09166666666666666,0,1,2024-08-13 13:42:13.000000,2024-08-31 19:42:10.000000,0,1,7,11.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
130.0.62.138,130.0.62.0,Odesa Oblast,0.2,0.23333333333333334,0,1,2024-10-11 15:45:00.000000,2024-10-22 04:42:10.000000,0,3,6,11.0,18.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.109.124,134.249.109.0,Chernihiv Oblast,1.0,1.0,0,1,2024-10-03 01:42:18.000000,2024-10-27 15:42:21.000000,0,1,9,7.0,29.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.110.252,134.249.110.0,Zakarpattia Oblast,0.0,0.1111111111111111,0,1,2024-09-09 21:42:17.000000,2025-01-09 14:43:10.000000,0,714,52,5.0,31.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.113.252,134.249.113.0,Chernihiv Oblast,0.9166666666666666,0.9791666666666666,0,1,2024-10-04 12:42:23.000000,2024-10-30 04:42:18.000000,0,2,10,6.0,17.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.160.253,134.249.160.0,Sumy Oblast,1.0,1.0,1,1,2024-06-22 10:51:22.000000,2025-01-09 14:43:12.000000,0,2724,72,5.0,29.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.165.189,134.249.165.0,Chernihiv Oblast,1.0,0.9791666666666666,1,1,2024-06-22 12:51:46.000000,2025-01-09 12:43:14.000000,0,1401,95,5.0,31.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.165.252,134.249.165.0,Poltava Oblast,0.9711538461538461,0.9903846153846154,0,1,2024-10-01 01:42:19.000000,2024-10-28 07:42:23.000000,0,1,10,7.0,15.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.166.253,134.249.166.0,Kyiv Oblast,1.0,0.9924242424242424,1,1,2024-06-22 08:50:44.000000,2025-01-09 14:43:13.000000,0,3588,83,5.0,31.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.176.152,134.249.176.0,Cherkasy Oblast,0.7570093457943925,0.7663551401869159,0,1,2024-11-01 18:42:20.000000,2024-11-27 13:36:30.000000,0,1,9,7.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.176.60,134.249.176.0,Chernihiv Oblast,0.75,0.9375,0,1,2024-10-01 21:42:19.000000,2024-10-31 06:42:21.000000,0,1,8,6.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.178.220,134.249.178.0,Chernihiv Oblast,0.0,0.1875,0,1,2024-09-12 06:42:24.000000,2025-01-09 13:43:15.000000,0,469,44,5.0,18.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.181.252,134.249.181.0,Chernihiv Oblast,0.9166666666666666,0.9583333333333334,1,1,2024-06-22 22:42:23.000000,2025-01-09 10:43:16.000000,0,821,65,5.0,18.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.196.124,134.249.196.0,Kyiv Oblast,0.9696969696969697,0.9696969696969697,1,1,2024-06-22 13:51:36.000000,2025-01-09 14:43:14.000000,0,940,71,5.0,26.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.196.188,134.249.196.0,Kyiv Oblast,0.0,0.022727272727272728,0,1,2024-09-11 05:42:19.000000,2025-01-09 12:43:15.000000,0,365,50,5.0,26.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.196.61,134.249.196.0,Kyiv Oblast,1.0,1.0,0,1,2024-06-22 12:51:48.000000,2025-01-09 00:44:08.000000,0,636,86,5.0,30.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.196.93,134.249.196.0,Kyiv Oblast,0.9393939393939394,0.9848484848484849,1,1,2024-06-22 12:51:48.000000,2025-01-09 06:43:20.000000,0,985,84,5.0,22.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.197.60,134.249.197.0,Cherkasy Oblast,0.9345794392523364,0.9672897196261683,1,1,2024-06-22 12:51:48.000000,2025-01-09 12:43:15.000000,0,1110,76,5.0,31.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.206.124,134.249.206.0,Chernihiv Oblast,1.0,0.9791666666666666,0,1,2024-10-06 20:42:20.000000,2024-10-31 13:42:19.000000,0,1,11,7.0,13.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.206.28,134.249.206.0,Chernihiv Oblast,0.0,0.25,0,1,2024-09-10 18:42:22.000000,2025-01-09 14:43:15.000000,0,332,52,5.0,30.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.206.61,134.249.206.0,Chernihiv Oblast,1.0,0.9791666666666666,1,1,2024-06-22 13:51:37.000000,2025-01-08 14:43:09.000000,0,536,76,5.0,26.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.251.252,134.249.251.0,Chernihiv Oblast,0.9166666666666666,1.0,0,1,2024-10-06 07:42:24.000000,2024-10-31 22:42:25.000000,0,1,10,7.0,20.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.50.125,134.249.50.0,Lviv Oblast,1.0,0.9583333333333334,1,1,2024-06-22 08:50:41.000000,2025-01-09 14:43:08.000000,0,3650,78,5.0,25.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
134.249.80.60,134.249.80.0,Zhytomyr Oblast,1.0,0.9375,0,1,2024-06-22 10:51:18.000000,2025-01-09 09:43:09.000000,0,857,83,5.0,24.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
134.249.91.252,134.249.91.0,Chernihiv Oblast,1.0,0.9791666666666666,0,1,2024-10-01 15:42:16.000000,2024-10-31 17:42:19.000000,0,2,10,6.0,25.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
141.138.102.163,141.138.102.0,Vinnytsia Oblast,0.0,0.0,0,1,2024-10-17 18:45:23.000000,2024-10-17 18:45:23.000000,0,1,0,10.0,10.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
141.138.124.122,141.138.124.0,Vinnytsia Oblast,0.0,0.045454545454545456,0,1,2024-07-20 18:42:32.000000,2024-07-28 03:42:26.000000,0,1,3,11.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
146.120.101.111,146.120.101.0,Kyiv Oblast,0.3939393939393939,0.3333333333333333,0,1,2024-06-23 11:42:29.000000,2024-09-10 18:42:30.000000,0,23,28,11.0,21.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
146.120.112.233,146.120.112.0,Odesa Oblast,0.8333333333333334,0.8083333333333333,0,1,2024-06-23 03:42:27.000000,2024-12-31 05:43:24.000000,0,9,45,8.0,15.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
146.120.222.7,146.120.222.0,Dnipropetrovsk Oblast,0.2692307692307692,0.8461538461538461,1,1,2024-06-22 08:38:25.000000,2025-01-09 05:34:04.000000,0,2015,75,7.0,23.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
146.120.241.39,146.120.241.0,Mykolaiv Oblast,0.0,0.0,0,1,2024-11-06 06:50:04.000000,2024-11-17 03:42:30.000000,0,9,7,9.0,18.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
146.158.73.167,146.158.73.0,Lviv Oblast,0.0,0.375,0,1,2024-10-06 12:42:33.000000,2024-10-28 08:42:37.000000,0,1,9,7.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
156.67.50.1,156.67.50.0,Odesa Oblast,1.0,0.9916666666666667,0,1,2024-06-22 22:42:40.000000,2025-01-09 00:44:26.000000,0,11,17,10.0,18.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
159.224.182.251,159.224.182.0,Poltava Oblast,0.4230769230769231,0.3798076923076923,0,1,2024-12-04 19:43:49.000000,2024-12-31 11:43:51.000000,0,1,8,8.0,9.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
159.224.194.2,159.224.194.0,Dnipropetrovsk Oblast,0.6538461538461539,0.9134615384615384,0,1,2024-07-02 21:43:01.000000,2025-01-08 10:44:06.000000,0,17,32,8.0,23.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
159.224.204.156,159.224.204.0,Dnipropetrovsk Oblast,0.5769230769230769,0.6153846153846154,0,1,2024-12-03 02:44:07.000000,2024-12-25 22:43:47.000000,0,3,21,7.0,16.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
159.224.212.193,159.224.212.0,Odesa Oblast,0.23333333333333334,0.8083333333333333,0,1,2024-08-03 02:43:04.000000,2025-01-09 13:44:01.000000,0,14,55,9.0,18.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
159.224.240.146,159.224.240.0,Dnipropetrovsk Oblast,0.6538461538461539,0.7596153846153846,0,1,2024-08-02 17:43:07.000000,2024-10-23 23:43:06.000000,0,5,16,8.0,25.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
159.224.244.243,159.224.244.0,Dnipropetrovsk Oblast,0.11538461538461539,0.2692307692307692,0,1,2024-08-27 04:42:57.000000,2024-08-27 04:42:57.000000,0,1,0,9.0,9.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.192.16,176.106.192.0,Lviv Oblast,0.3333333333333333,0.7916666666666666,0,1,2024-06-22 12:54:50.000000,2024-07-26 03:44:37.000000,0,148,11,10.0,13.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.192.85,176.106.192.0,Lviv Oblast,0.5,0.7916666666666666,0,1,2024-07-06 06:44:31.000000,2024-10-27 13:44:37.000000,0,4,18,10.0,19.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.195.124,176.106.195.0,Lviv Oblast,0.16666666666666666,0.4583333333333333,1,1,2024-06-22 10:54:16.000000,2025-01-09 11:45:27.000000,0,1887,70,7.0,19.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
176.106.196.95,176.106.196.0,Lviv Oblast,0.0,0.0,0,1,2024-12-02 04:45:21.000000,2024-12-02 04:45:21.000000,0,2,0,10.0,10.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.198.85,176.106.198.0,Lviv Oblast,0.16666666666666666,0.4583333333333333,1,1,2024-06-22 08:53:43.000000,2024-12-30 04:45:17.000000,0,1229,75,7.0,21.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
176.106.199.25,176.106.199.0,Lviv Oblast,0.0,0.0,0,1,2024-11-02 13:44:36.000000,2024-11-09 17:44:34.000000,0,1,2,10.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.200.111,176.106.200.0,Lviv Oblast,0.0,0.125,0,1,2024-09-01 19:44:30.000000,2024-09-29 23:44:41.000000,0,151,9,7.0,21.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.202.161,176.106.202.0,Lviv Oblast,0.0,0.08333333333333333,0,1,2024-06-23 13:44:30.000000,2024-07-01 09:44:37.000000,0,6,1,10.0,11.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.204.75,176.106.204.0,Lviv Oblast,0.6666666666666666,0.8333333333333334,0,1,2024-09-03 13:44:34.000000,2025-01-09 13:45:26.000000,0,608,14,7.0,31.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.208.10,176.106.208.0,Lviv Oblast,0.6666666666666666,0.875,0,1,2024-06-22 17:55:17.000000,2024-12-31 09:45:17.000000,0,12,63,9.0,28.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.210.43,176.106.210.0,Lviv Oblast,0.3333333333333333,0.4583333333333333,0,1,2024-06-22 08:53:44.000000,2024-12-31 12:45:20.000000,0,1125,66,8.0,21.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.106.213.180,176.106.213.0,Lviv Oblast,0.0,0.375,0,1,2024-07-01 10:44:36.000000,2024-07-31 18:44:34.000000,0,244,9,11.0,23.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.108.0.1,176.108.0.0,Dnipropetrovsk Oblast,1.0,0.9423076923076923,0,1,2024-07-04 09:44:34.000000,2024-07-25 12:44:37.000000,0,1,6,9.0,20.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.109.169.9,176.109.169.0,Kirovohrad Oblast,0.7037037037037037,0.7314814814814815,0,1,2024-07-07 01:44:40.000000,2024-07-30 07:44:38.000000,0,1,12,11.0,14.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.109.173.135,176.109.173.0,Kirovohrad Oblast,0.2037037037037037,0.3287037037037037,0,1,2024-07-01 18:44:41.000000,2024-07-19 18:44:40.000000,0,1,3,11.0,11.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.112.26.39,176.112.26.0,Dnipropetrovsk Oblast,0.9615384615384616,0.8653846153846154,0,1,2024-06-24 02:41:32.000000,2024-08-29 22:44:51.000000,0,15,27,12.0,32.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.113.154.163,176.113.154.0,Kyiv Oblast,0.15151515151515152,0.23484848484848486,0,1,2024-06-28 08:44:53.000000,2024-12-30 14:45:28.000000,0,3,18,8.0,24.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.113.208.208,176.113.208.0,Poltava Oblast,0.0,0.0,0,1,2024-11-11 11:44:55.000000,2024-11-30 05:45:33.000000,0,1,5,8.0,10.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.119.73.124,176.119.73.0,Odesa Oblast,0.5666666666666667,0.6916666666666667,0,1,2024-07-01 20:45:02.000000,2024-08-25 04:45:00.000000,0,24,25,11.0,23.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.119.74.118,176.119.74.0,Odesa Oblast,0.1,0.18333333333333332,0,1,2024-08-03 14:45:04.000000,2024-08-04 19:45:01.000000,0,2,1,12.0,14.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
176.119.74.140,176.119.74.0,Odesa Oblast,0.13333333333333333,0.375,0,1,2024-12-02 12:45:36.000000,2024-12-27 06:45:35.000000,0,1,3,11.0,14.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
